feature,importance,cumulative_importance
indice_severidade_atrasos,0.2794209955827341,0.2794209955827341
utilizacao_credito_bin,0.1559869515845521,0.4354079471672862
utilizacao_credito_quadrado,0.12524365931952042,0.5606516064868066
alta_utilizacao_flag,0.09580328740802577,0.6564548938948324
utilizacao_credito,0.0721158695993676,0.7285707634941999
utilizacao_media_linha,0.04262006346380608,0.771190826958006
emprestimos_imobiliarioss,0.02645109496967357,0.7976419219276796
score_interno,0.023291698929468672,0.8209336208571483
pressao_dependentes_renda,0.018500906386301898,0.8394345272434501
idade,0.017536374758302466,0.8569709020017526
linhas_credito_abertas,0.016969977130237193,0.8739408791319898
renda_per_capita,0.01615932585709413,0.8901002049890839
idade_quadrado,0.012017444178298803,0.9021176491673827
divida_ratio,0.01001080048673822,0.9121284496541209
interacao_idade_renda,0.009230174457600899,0.9213586241117218
interacao_divida_linhas,0.009212817276126859,0.9305714413878486
comprometimento_renda_ajustado,0.008628025444929887,0.9391994668327786
flag_alto_risco,0.008413784447233674,0.9476132512800122
flag_possui_imovel,0.008373703481311588,0.9559869547613238
log_renda_mensal,0.008270021408727625,0.9642569761700515
renda_mensal,0.008116648967107242,0.9723736251371587
renda_disponivel,0.007647008238609585,0.9800206333757683
baixa_renda_por_pessoa,0.0066600500794058775,0.9866806834551741
flag_thin_file,0.005684915626745634,0.9923655990819198
estabilidade_financeira,0.0025557985473263025,0.9949213976292461
comprometimento_outlier_flag,0.00233987871773364,0.9972612763469798
flag_cliente_estavel,0.0020024529498435125,0.9992637292968233
renda_mensal_missing,0.000736270703176849,1.0000000000000002
