model_name,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,optimal_threshold,n_features,n_estimators,max_depth,test_ks
Logistic Regression (Baseline),0.9331166709943294,0.0237192810857073,0.7114359729211003,0.9335946661305994,0.0350535540408958,0.7195047635072774,0.1,28,,,
Random Forest,0.9730968477567988,0.972892288346805,0.9972763230593832,0.925051093912286,0.4042609853528628,0.8562657041288753,,28,300.0,20.0,
XGBoost,0.9720778229680108,0.9714848943290698,0.9947597362366336,0.9354709015981506,0.3363197794624397,0.8544595555279699,,28,,,
LightGBM,0.9694831254881892,0.9687930369635872,0.993032612246082,0.9365095319462592,0.3362521891418564,0.8597061315412906,,28,,,
LIGHTGBM (Tuned - FINAL),0.9737657230586905,0.973228029025874,0.9957790927673618,0.9365095319462593,0.34451746800415084,0.8571526785299454,,28,,,0.5609473844525021
